Director,Released,Title,Writer,Year,imdbID,imdbRating,Actor1,Actor2,Actor3,Actor4,dircount,writcount,a1count,a2count,a3count,a4count,starpower
Ashutosh Gowariker,08 May 2002,Lagaan: Once Upon a Time in India,"Ashutosh Gowariker (story), Ashutosh Gowariker (screenplay), Kumar Dave (screenplay), Sanjay Dayma (screenplay), K.P. Saxena (dialogue)",2001,tt0169102,8.2,Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne,1,1,2,1,1,1,7
Majid Majidi,22 Jan 1999,Children of Heaven,Majid Majidi,1997,tt0118849,8.4,Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi,1,1,1,1,1,1,6
Chan-wook Park,21 Nov 2003,Oldboy,"Garon Tsuchiya (story), Nobuaki Minegishi (comic), Chan-wook Park (screenplay), Chun-hyeong Lim (screenplay), Jo-yun Hwang (screenplay), Joon-hyung Lim",2003,tt0364569,8.4,Min-sik Choi, Ji-tae Yu, Hye-jeong Kang, Dae-han Ji,1,1,1,1,1,1,6
Elem Klimov,17 Oct 1985,Come and See,"Ales Adamovich (story), Ales Adamovich (screenplay), Elem Klimov (screenplay)",1985,tt0091251,8.3,Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas,1,1,1,1,1,1,6
Vittorio De Sica,13 Dec 1949,Bicycle Thieves,"Cesare Zavattini (story), Luigi Bartolini (novel), Oreste Biancoli (screenplay), Suso Cecchi D'Amico (screenplay), Vittorio De Sica (screenplay), Adolfo Franci (screenplay), Gherardo Gherardi (screenplay), Gerardo Guerrieri (screenplay), Cesare Zavattini (screenplay)",1948,tt0040522,8.3,Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Gino Saltamerenda,1,1,1,1,1,1,6
"Terry Gilliam, Terry Jones",25 May 1975,Monty Python and the Holy Grail,"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin",1975,tt0071853,8.3,Graham Chapman, John Cleese, Eric Idle, Terry Gilliam,1,1,2,2,1,1,8
Terry Jones,17 Aug 1979,Life of Brian,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin",1979,tt0079470,8.1,Graham Chapman, John Cleese, Terry Gilliam, Eric Idle,1,1,2,2,1,1,8
John Sturges,04 Jul 1963,The Great Escape,"Paul Brickhill (book), James Clavell (screenplay), W.R. Burnett (screenplay)",1963,tt0057115,8.3,Steve McQueen, James Garner, Richard Attenborough, James Donald,1,1,1,1,1,1,6
F.W. Murnau,04 Nov 1927,Sunrise,"Carl Mayer (scenario), Hermann Sudermann (from an original theme by), Katherine Hilliker (titles), H.H. Caldwell (titles)",1927,tt0018455,8.3,George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing,1,1,1,1,1,1,6
"Pete Docter, Bob Peterson",29 May 2009,Up,"Pete Docter (story by), Bob Peterson (story by), Tom McCarthy (story by), Bob Peterson (screenplay), Pete Docter (screenplay)",2009,tt1049413,8.3,Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson,1,1,1,1,1,1,6
Michel Gondry,19 Mar 2004,Eternal Sunshine of the Spotless Mind,"Charlie Kaufman (story), Michel Gondry (story), Pierre Bismuth (story), Charlie Kaufman (screenplay)",2004,tt0338013,8.3,Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood,1,1,2,1,1,1,7
Peter Weir,05 Jun 1998,The Truman Show,Andrew Niccol,1998,tt0120382,8.1,Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone,1,1,2,1,1,1,7
Stanley Kramer,18 Dec 1961,Judgment at Nuremberg,"Abby Mann, Abby Mann (based on his original story by)",1961,tt0055031,8.3,Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich,1,1,1,1,1,1,6
George Roy Hill,25 Dec 1973,The Sting,David S. Ward,1973,tt0070735,8.3,Paul Newman, Robert Redford, Robert Shaw, Charles Durning,2,1,3,2,1,1,10
George Roy Hill,24 Oct 1969,Butch Cassidy and the Sundance Kid,William Goldman,1969,tt0064115,8.1,Paul Newman, Robert Redford, Katharine Ross, Strother Martin,2,1,3,2,1,1,10
Stuart Rosenberg,01 Nov 1967,Cool Hand Luke,"Donn Pearce (screenplay), Frank Pierson (screenplay), Donn Pearce (novel)",1967,tt0061512,8.2,Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio,1,1,3,1,1,1,8
"Stanley Donen, Gene Kelly",11 Apr 1952,Singin' in the Rain,"Betty Comden (story by), Adolph Green (story by)",1952,tt0045152,8.3,Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen,1,1,1,1,1,1,6
Yasujirô Ozu,13 Mar 1972,Tokyo Story,"Kôgo Noda (scenario), Yasujirô Ozu (scenario)",1953,tt0046438,8.3,Chishû Ryû, Chieko Higashiyama, Setsuko Hara, Haruko Sugimura,1,1,1,1,1,1,6
Carl Theodor Dreyer,25 Oct 1928,The Passion of Joan of Arc,"Joseph Delteil, Carl Theodor Dreyer",1928,tt0019254,8.3,Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz,1,1,1,1,1,1,6
"Pete Docter, Ronnie Del Carmen",19 Jun 2015,Inside Out,"Pete Docter (original story by), Ronnie Del Carmen (original story by), Pete Docter (screenplay), Meg LeFauve (screenplay), Josh Cooley (screenplay), Michael Arndt (additional story material by), Bill Hader (additional dialogue by), Amy Poehler (additional dialogue by), Simon Rich (additional story material by)",2015,tt2096673,8.3,Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader,1,1,1,1,1,1,6
Anurag Kashyap,02 Aug 2012,Gangs of Wasseypur,"Akhilesh Jaiswal, Anurag Kashyap, Sachin K. Ladia, Zeishan Quadri",2012,tt1954470,8.3,Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia,1,1,1,1,1,1,6
